product_id,prod_desc,world_group,division_code,division_desc
115,Disp & Feminine Hygi,"Celebration, Study & Beauty",be,Beauty & Care
117,Men'S Cosmetics,"Celebration, Study & Beauty",be,Beauty & Care
76,Ready-Made Curtains,Home & Seasonal,li,Living
611,Trendy Items,"Celebration, Study & Beauty",cb,Celebration
159,Hobby & Crafts,"Celebration, Study & Beauty",to,Toys
270,Cold Meats Apiece,food,ve,Fresh
157,St Nicholas Toys,"Celebration, Study & Beauty",to,Toys
212,Lingerie Plus Size,women,wo,Women
263,Impulse Bread Purcha,food,ve,Fresh
358,Gift Services,newservices&innovate,ns,Newservices&Innovate
78,Curtain Making Servi,Home & Seasonal,li,Living
233,Ladies Pyjamas,women,wo,Women
107,Delicacies,food,hb,Non-Perishable
136,Photo Frames,Home & Seasonal,li,Living
362,Women'S Fashion - Fa,women,wo,Women
123,Jewelry,women,wo,Women
356,Hardware Promotion,"Celebration, Study & Beauty",to,Toys
395,Audio / Video Tapes,"Celebration, Study & Beauty",st,Study
806,Plastic Household Ar,Home & Seasonal,ce,Cooking & Eating
