store_id,store_name,store_size,zipcode,coaststore,trafficstore,PLAATS,GEMEENTE,PROVINCIE,regio,STN
642,Hardinxveld Giessendam,A ,3371,0,0,Hardinxveld Giessendam,Hardinxveld Giessendam,Zuid-Holland,middle,356
259,Volendam,A ,1131,0,0,Volendam,Edam Volendam,Noord-Holland,north,249
249,Driebergen,A ,3971,0,0,Driebergen Rijsenburg,Utrechtse Heuvelrug,Utrecht,middle,260
102,Oss,C ,5341,0,0,Oss,Oss,Noord-Brabant,south,375
383,Barendrecht-Centrum,AA,2991,0,0,Barendrecht,Barendrecht,Zuid-Holland,middle,344
201,Bilthoven,B ,3722,0,0,Bilthoven,De Bilt,Utrecht,middle,260
46,Helmond,B ,5701,0,0,Helmond,Helmond,Noord-Brabant,south,370
163,Joure,B ,8501,0,0,Joure,Skarsterlan,Friesland,north,270
124,Steenbergen,A ,4651,0,0,Steenbergen (NB),Steenbergen,Noord-Brabant,south,340
173,Valkenswaard,B ,5554,0,0,Valkenswaard,Valkenswaard,Noord-Brabant,south,370
220,Voorschoten,B ,2251,0,0,Voorschoten,Voorschoten,Zuid-Holland,middle,210
523,HT Stationslocatie Den Bosch,AA,5211,0,0,Den Bosch,s Hertogenbosch,Noord-Brabant,south,375
178,Geldermalsen,B ,4191,0,0,Geldermalsen,Geldermalsen,Gelderland,middle,356
214,Zeewolde,A ,3891,0,0,Zeewolde,Zeewolde,Flevoland,north,269
168,Barneveld,B ,3771,0,0,Barneveld,Barneveld,Gelderland,middle,275
306,Goor,A ,7471,0,0,Goor,Hof Van Twente,Overijssel,north,290
545,Amsterdam Haarlemmerplein,AA,1013,0,0,Amsterdam,Amsterdam,Noord-Holland,north,240
260,Goirle,A ,5051,0,0,Goirle,Goirle,Noord-Brabant,south,350
154,Enkhuizen,B ,1601,0,0,Enkhuizen,Enkhuizen,Noord-Holland,north,249
67,Nijmegen-Dukenburg,B ,6538,0,0,Nijmegen,Nijmegen,Gelderland,south,375
187,Surhuisterveen,B ,9231,0,0,Surhuisterveen,Achtkarspelen,Friesland,north,270
137,Weert,C ,6001,0,0,Weert,Weert,Limburg,south,377
132,Ridderkerk,C ,2981,0,0,Ridderkerk,Ridderkerk,Zuid-Holland,middle,344
112,Tiel,B ,4001,0,0,Tiel,Tiel,Gelderland,middle,356
43,Gesloten,B ,6461,0,0,Kerkrade,Kerkrade,Limburg,south,380
73,Terneuzen,B ,4531,0,0,Terneuzen,Terneuzen,Zeeland,south,319
388,A'dam-IJburg,AA,1087,0,0,Amsterdam,Amsterdam,Noord-Holland,north,240
949,Dalfsen,A ,7721,0,0,Dalfsen,Dalfsen,Overijssel,north,278
222,Wijchen,B ,6602,0,0,Wijchen,Wijchen,Gelderland,south,375
